SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513349,AJMERA      ,B ,Q,169.50,183.45,169.00,177.20,177.20,167.25,4239,242930,43234878.00,
513353,COCHIN MIN. ,XD,Q,125.10,138.00,125.10,135.70,138.00,125.90,101,9428,1239788.00,
513361,ISW LTD     ,XC,Q,5.00,5.37,5.00,5.14,5.14,5.11,39,11770,60772.00,
513369,RAJKUMAR FRG,XT,Q,71.00,72.00,70.65,71.25,71.25,74.35,10,1132,80680.00,
513375,CARBORUNDUM ,B ,Q,261.25,262.20,255.20,257.90,257.90,261.25,358,13944,3605609.00,
513377,MINERAL&METL,A ,Q,64.65,65.50,64.00,64.20,64.20,64.30,2209,391647,25354710.00,
513397,VALLABH STEL,XD,Q,35.30,35.30,35.30,35.30,35.30,34.30,1,150,5295.00,
513401,ASHIANA ISP.,XT,Q,15.00,16.00,14.75,16.00,16.00,15.50,5,5850,93050.00,
513405,PENNAR ALUM.,XT,Q,0.80,0.80,0.80,0.80,0.80,0.77,2,1110,888.00,
513414,SUJANA METAL,B ,Q,2.78,2.80,2.62,2.75,2.75,2.82,31,20040,54066.00,
513418,SMFIL       ,XD,Q,3.03,3.08,2.81,2.82,2.85,2.95,263,318924,917047.00,
513428,TRINETRA    ,XT,Q,66.40,72.95,66.30,72.15,72.25,69.75,13,1415,95675.00,
513434,TATA METALIK,B ,Q,410.40,416.00,401.25,403.65,403.65,411.45,4114,150469,61391197.00,
513436,SHAH ALLOYS ,T ,Q,14.75,16.20,14.75,16.00,16.20,15.45,20,3222,51623.00,
513446,MONNETISPA  ,B ,Q,30.20,36.75,30.00,34.70,34.70,30.65,11928,2059605,70504773.00,
513456,KANISHK ST. ,XT,Q,6.93,6.93,6.93,6.93,6.93,6.60,1,1,6.00,
513460,MAHALAXMI SM,Z ,Q,6.33,6.99,6.33,6.99,6.99,6.66,4,425,2853.00,
513472,SIMPLEX CAST,XD,Q,115.10,122.10,115.10,120.15,120.00,118.25,30,2606,313916.00,
513488,SH.STEEL WIR,XT,Q,17.75,17.75,16.15,17.55,17.55,16.95,5,510,8251.00,
513498,SOUTH.MAGNES,P ,Q,35.25,35.25,35.25,35.25,35.25,33.95,1,100,3525.00,
513502,BARODA EXTR.,XT,Q,0.39,0.39,0.39,0.39,0.39,0.38,1,130,50.00,
513509,KALYANI FORG,T ,Q,285.00,288.00,280.00,284.65,288.00,280.00,30,1350,380299.00,
513511,PANCH.STEEL ,XD,Q,41.00,41.00,38.55,39.70,39.85,39.50,43,17078,681206.00,
513517,STEELCAST   ,XC,Q,68.85,70.00,67.00,67.25,67.25,68.85,29,5200,354276.00,
513519,PITTI LAMIN.,B ,Q,60.05,64.00,60.00,61.30,61.40,60.00,496,38905,2423737.00,
513528,GLITTEK GRAN,XD,Q,1.92,1.92,1.92,1.92,1.92,1.84,2,1600,3072.00,
513532,PRADEEP MET.,XT,Q,67.25,67.70,61.60,63.50,63.50,64.50,17,2153,142718.00,
513534,VARDHMAN IND,XD,Q,34.35,34.50,33.85,34.00,34.15,35.40,53,11149,379270.00,
513536,GNRL        ,XC,Q,39.90,39.90,39.40,39.40,39.40,39.65,3,253,10019.00,
513554,MAHA STEEL  ,B ,Q,170.00,170.00,162.10,167.80,168.00,167.00,232,109249,18155260.00,
513566,NOVA IRON&ST,XT,Q,19.05,19.05,17.70,18.90,19.05,18.15,82,19507,369584.00,
513583,S.B.& T INT.,Z ,Q,2.00,2.00,2.00,2.00,2.00,2.10,5,6394,12788.00,
513597,SURANA INDS ,B ,Q,3.94,3.94,3.75,3.94,3.94,3.76,73,68180,267563.00,
513599,HIND.COPPER ,A ,Q,69.60,69.60,67.10,67.30,67.30,68.95,2362,290433,19859997.00,
513605,SRIPIPES    ,B ,Q,313.00,314.00,302.55,305.45,305.45,308.60,606,18384,5627089.00,
513642,AXEL POLYMER,XT,Q,12.58,12.58,11.40,11.98,11.98,11.99,23,3614,42195.00,
513683,NLCINDIA    ,A ,Q,97.05,97.20,96.50,96.75,96.75,96.50,339,43763,4234950.00,
513687,SPECTRA IND.,XD,Q,14.05,14.05,14.05,14.05,14.05,14.00,2,1000,14050.00,
513691,JMT AUTO LTD,B ,Q,19.20,20.00,18.10,19.35,19.00,18.50,704,162911,3064024.00,
513703,KUMAR WIRE  ,XT,Q,41.00,42.10,40.00,41.95,42.10,40.85,31,2962,122032.00,
513709,SHILP GRAVUR,XD,Q,88.60,94.15,88.60,92.20,92.85,91.95,17,1504,138316.00,
513713,WHITE DIAMON,XT,Q,35.60,36.90,35.15,36.15,36.00,36.15,11,2575,93544.00,
513723,HIMALAYA GR.,XT,Q,41.45,41.45,41.45,41.45,41.45,41.45,2,147,6093.00,
513729,ARO GRANITE ,B ,Q,75.50,76.50,75.00,75.30,75.50,75.20,162,13849,1047436.00,
514010,HIM.FIBRES  ,XC,Q,10.80,10.95,10.30,10.37,10.79,10.64,34,2828,29303.00,
514030,DEEPAK SPINN,XD,Q,103.20,103.90,102.15,102.70,103.90,104.30,11,619,63662.00,
514034,JBF IND.LTD ,B ,Q,228.00,228.40,224.00,225.25,225.25,229.65,382,10352,2339286.00,
514036,LOY.TEX MILL,XC,Q,696.60,696.60,672.00,674.90,696.60,693.00,4,18,12169.00,
514043,HIMAT.SEIDE ,B ,Q,353.00,368.10,347.40,365.05,365.05,349.95,2852,91637,33199911.00,
514045,BSL LTD.    ,B ,Q,77.05,79.30,77.00,77.70,77.70,79.00,14,993,77713.00,
514113,ADHINATH TEX,XT,Q,5.29,5.34,5.13,5.34,5.34,5.30,14,3195,16983.00,
514118,ESKAY K'N'IT,XD,Q,0.31,0.32,0.31,0.32,0.32,0.32,3,3200,994.00,
514128,KONARK SYN. ,XD,Q,18.65,18.85,17.50,18.85,18.85,18.25,13,1796,33369.00,
514138,SURYALATA SP,XD,Q,167.00,167.00,165.00,166.00,166.00,167.00,6,842,139924.00,
514140,SURYAVA SPIN,XT,Q,10.52,10.52,9.64,9.64,9.64,10.02,7,2201,23153.00,
514142,TT LTD.     ,B ,Q,54.25,55.10,52.00,52.50,52.00,53.50,87,6428,341664.00,
514144,UNIWORTH LTD,XT,Q,1.41,1.41,1.33,1.33,1.33,1.40,5,710,993.00,
514162,WELSPUN (I) ,B ,Q,77.85,78.80,76.05,78.25,78.25,77.30,1015,188168,14622154.00,
514165,IND.ACRYLICS,XC,Q,18.30,18.55,17.90,18.10,18.10,18.30,182,92274,1678647.00,
514167,GANESH ECOSP,B ,Q,195.00,202.00,195.00,197.80,197.80,194.00,167,6595,1316790.00,
514175,VARDHMAN POL,B ,Q,74.35,78.35,74.35,76.00,76.00,73.05,3345,587336,44993852.00,
514183,BLA ROS IND ,XD,Q,27.50,28.70,27.50,28.30,28.20,27.75,40,8317,234337.00,
514211,SUMEET INDS.,B ,Q,37.20,37.35,35.85,35.95,35.95,37.10,1020,150970,5493196.00,
514215,BINNY LTD.  ,XC,Q,76.55,80.00,76.55,77.90,77.90,78.70,68,3919,305804.00,
514221,KLIFESTYLE  ,XD,Q,0.21,0.21,0.18,0.21,0.21,0.21,18,51140,10511.00,
514234,SANGAM INDIA,B ,Q,294.70,300.50,290.85,293.70,292.80,295.30,177,3232,950205.00,
514266,ZENITH FIBRE,XT,Q,135.20,139.95,135.20,139.85,139.85,136.05,70,4134,571156.00,
514274,AARVEE DENIM,B ,Q,88.50,92.75,88.40,90.75,91.55,88.45,77,4179,377625.00,
514286,ASHIMA LTD. ,B ,Q,16.00,16.00,15.60,15.70,15.70,15.85,52,8060,126668.00,
514300,PIONEER EMB ,B ,Q,51.85,52.25,51.30,51.65,51.65,51.75,131,9258,479187.00,
514302,VIPPY SPIN. ,XD,Q,30.95,33.50,30.95,33.05,33.30,31.00,41,5987,195544.00,
514312,JAY HIND SYN,XT,Q,4.38,4.38,4.28,4.28,4.28,4.50,7,6350,27213.00,
514316,RAGHUVIR SYN,XT,Q,32.50,32.50,32.50,32.50,32.50,32.50,1,50,1625.00,
514322,KAMADGIRI   ,XD,Q,82.05,82.05,77.40,80.20,80.20,80.85,11,337,26692.00,
514324,OMNITEX IND.,XD,Q,19.45,19.45,19.45,19.45,19.45,18.55,1,50,972.00,
514326,PATSPIN INDI,B ,Q,12.44,12.75,12.40,12.60,12.60,12.31,22,11174,139675.00,
514332,NEOINFRA    ,XD,Q,56.50,59.95,48.45,48.85,48.85,52.80,28,1675,85884.00,
514348,WINSOME YRN ,B ,Q,1.91,1.91,1.86,1.91,1.91,1.88,35,40399,77049.00,
514366,CITIZEN YARN,XD,Q,1.80,1.80,1.80,1.80,1.80,1.80,6,10559,19006.00,
514394,AJIL        ,XT,Q,75.80,77.80,72.05,74.95,74.00,75.80,97,9532,714449.00,
514412,SARUPINDUS  ,XD,Q,64.65,64.65,64.65,64.65,64.65,68.05,1,5,323.00,
514418,MANORG      ,XD,Q,57.40,57.40,54.50,55.70,55.70,57.45,260,59234,3299158.00,
514428,HINDU.ADHESI,XD,Q,69.20,73.90,69.15,73.90,73.90,70.40,47,11875,858837.00,
514442,SRI KPR IND ,XT,Q,25.00,25.00,23.85,24.00,24.00,24.00,15,1801,44304.00,
514448,JYOTI RESINS,XT,Q,152.90,152.90,144.00,148.85,147.40,147.00,30,2455,363595.00,
514450,MAHA.RUBTECH,XC,Q,52.85,54.00,51.20,52.10,52.10,53.80,74,11185,591799.00,
514460,OSWAL YARNS ,XT,Q,4.44,4.44,4.44,4.44,4.44,4.23,4,490,2175.00,
514470,WIMSOME TEXT,XD,Q,67.00,67.00,64.75,65.00,66.50,67.80,20,2955,192599.00,
514474,FAIRDEAL FIL,XD,Q,33.90,33.90,30.60,31.00,31.65,30.90,17,1260,39421.00,
515018,REG.CERAMIC ,T ,Q,7.03,7.03,7.03,7.03,7.03,7.39,9,2400,16872.00,
515030,ASAHI IN.GLA,B ,Q,203.20,206.00,198.40,201.10,202.00,203.25,189,18273,3709429.00,
515037,MURD.CERAM  ,B ,Q,33.25,33.70,33.00,33.40,33.70,33.75,173,17599,587441.00,
515043,SAINT-GOBAIN,XC,Q,48.50,49.40,47.30,47.60,47.60,48.45,547,103622,4999153.00,
515055,ANANTRAJ    ,B ,Q,46.05,49.30,45.70,48.65,48.60,45.90,3503,455328,21911107.00,
